comuna,dormitorios,baños,estacionamientos,bodegas,superficie_total,superficie_util,precio,gastos_comunes,lat,long,precio_total,distancia_estacion,estacion_cercana
Independencia,1.0,1.0,0.0,0.0,28.0,28.0,280000.0,40000.0,-33.421224,-70.6609585,320000.0,591.2741746542649,Hospitales
Independencia,2.0,1.0,0.0,1.0,55.0,58.0,330000.0,65000.0,-33.4170988,-70.665935,395000.0,929.3899805689939,Hospitales
Independencia,1.0,1.0,0.0,0.0,30.0,28.0,320000.0,60000.0,-33.4190857,-70.6596697,380000.0,367.0653592129485,Hospitales
Independencia,2.0,1.0,0.0,0.0,43.0,43.0,350000.0,0.0,-33.4216169,-70.6635053,350000.0,811.455794570124,Hospitales
Independencia,1.0,1.0,0.0,0.0,30.0,30.0,280000.0,32000.0,-33.4009017,-70.6608557,312000.0,607.5133916900184,Plaza Chacabuco
Independencia,2.0,2.0,0.0,0.0,45.3,47.28,360000.0,88000.0,-33.406578,-70.663269,448000.0,206.92950300698286,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,39.0,36.2,355000.0,46000.0,-33.4218963,-70.6552783,401000.0,447.3030084881817,Hospitales
Independencia,2.0,2.0,1.0,0.0,52.0,50.0,420405.0,120000.0,-33.4038602,-70.6622255,540405.0,298.62619797469625,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,35.0,33.0,300000.0,40000.0,-33.4181854,-70.6643755,340000.0,780.7134937945707,Hospitales
Independencia,1.0,1.0,0.0,1.0,40.0,38.5,350000.0,50000.0,-33.406575,-70.6640486,400000.0,278.9208814793379,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,30.85,30.85,330000.0,0.0,-33.4126782,-70.6550924,330000.0,588.3528644979856,Hospitales
Independencia,3.0,1.0,1.0,0.0,48.0,46.0,380000.0,22000.0,-33.4106491,-70.6675229,402000.0,766.8405833695928,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,27.0,27.0,270000.0,30000.0,-33.4106581,-70.6675229,300000.0,767.4635545420401,Plaza Chacabuco
Independencia,3.0,2.0,1.0,1.0,58.0,58.0,616472.0,85000.0,-33.4082676,-70.6597235,701472.0,245.4846395056424,Plaza Chacabuco
Independencia,2.0,2.0,1.0,0.0,56.0,53.0,480000.0,55000.0,-33.4095684,-70.6546813,535000.0,691.0385844039806,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,52.0,50.0,320000.0,55000.0,-33.4071655,-70.6642933,375000.0,313.654966663268,Plaza Chacabuco
Independencia,2.0,1.0,0.0,1.0,42.0,40.0,350000.0,50000.0,-33.4126782,-70.6550924,400000.0,588.3528644979856,Hospitales
Independencia,2.0,2.0,1.0,0.0,44.0,42.0,370000.0,0.0,-33.4202773,-70.6598049,370000.0,442.2022116590975,Hospitales
Independencia,2.0,2.0,1.0,1.0,63.0,61.09,400000.0,100000.0,-33.414707,-70.6577254,500000.0,392.3527249335368,Hospitales
Independencia,2.0,1.0,1.0,1.0,44.0,41.0,360000.0,55000.0,-33.4126782,-70.6550924,415000.0,588.3528644979856,Hospitales
Independencia,2.0,1.0,1.0,1.0,48.0,48.0,400000.0,80000.0,-33.4254817,-70.655744,480000.0,841.6970847064623,Hospitales
Independencia,1.0,1.0,0.0,0.0,32.0,32.0,300000.0,45000.0,-33.411284,-70.6554247,345000.0,739.4759608718107,Hospitales
Independencia,2.0,1.0,0.0,0.0,58.0,58.0,380000.0,60000.0,-33.4104127,-70.6593522,440000.0,477.5894087184925,Plaza Chacabuco
Independencia,2.0,1.0,1.0,0.0,50.0,49.0,380000.0,70000.0,-33.4233051,-70.6539539,450000.0,627.941607746738,Hospitales
Independencia,1.0,1.0,0.0,0.0,38240.0,35850.0,300000.0,0.0,-33.4060173,-70.6616277,300000.0,65.45611340909163,Plaza Chacabuco
